No.,Question
1,I have no tech background at all. where do I even begin?
2,What is the difference between self-teaching and bootcamps and a computer science degree. which should I choose?
3,What are the most beginner friendly programming languages to start with?
4,How long does it realistically take to be job ready in tech from scratch?
5,I'm switching careers from a completely non-tech field  what transferable skills do I have?
6,What free resources do you recommend for someone starting in tech today?
7,"How do I figure out which area of tech is right for me ,development vs data vs UX vs cybersecurity?"
8,What does a typical day look like for someone early in their tech career?
9,Do I need a master's degree to succeed in tech?
10,Which tech fields benefit most from having a postgraduate qualification?
11,What should I look for when choosing a master's programme in a tech related field?
12,Is it better to do a master's before or after gaining work experience?
13,Are there certifications that are more valued than a master's degree in tech?
14,"How do I fund further education in tech ,are there scholarships for women?"
15,How do I balance working full time while pursuing further academic qualifications?
16,What does the roadmap look like to become a software developer?
17,How do I get into data science or machine learning with a non-technical background?
18,What are the steps to becoming a UX/UI designer?
19,What does a career path in cybersecurity look like and where do I start?
20,How do I get into product management in tech?
21,What is the roadmap for getting into cloud computing or DevOps?
22,How do I transition into tech project management?
23,What are the different specialisations within software engineering and how do I choose?
24,How do I find a good mentor in tech?
25,What should I look for in a mentor and how do I approach them?
26,How do I make the most of my mentorship sessions?
27,What is the difference between a mentor and a sponsor and do I need both?
28,How do I maintain a productive long-term mentorship relationship?
29,How can the BSC programme help me with my specific career goals?
30,How do I set healthy boundaries in a demanding tech job?
31,How do women in tech manage family responsibilities alongside career growth?
32,How do I avoid burnout when learning to code or building a new tech skill?
33,Is it possible to have flexible working arrangements in most tech roles?
34,How do I stay motivated when progress feels slow?
35,How do I manage my mental health while going through a challenging career transition?
36,I constantly feel like I don't belong in tech .
37,How do I handle moments when I feel less competent than my colleagues?
38,How do I build confidence speaking up in meetings or presenting my work?
39,How do I stop holding myself back from applying to roles I feel unde -qualified for?
40,How do I actually internalise my achievements instead of brushing them off?
41,How do I write a CV that stands out for tech roles?
42,What is the most effective job search strategy in tech?
43,How do I prepare for a technical interview?
44,How do I get a tech job without prior industry experience?
45,How should I use LinkedIn to support my job search in tech?
46,How do I find out what salary I should be earning in my current or target tech role?
47,How do I negotiate my first tech job salary without feeling awkward or rude?
48,What do I say when an employer asks for my current salary or expectations?
49,How do I ask for a pay rise in my current tech role?
50,What benefits and perks should I negotiate beyond base salary in a tech offer?
51,Is learning tech still worth it due to AI replacing jobs?
52,How can I use AI tools like ChatGPT and GitHub Copilot to accelerate my tech learning?
53,Will AI make my current or target tech skills obsolete and how do I future-proof my career?
54,How is AI changing hiring and recruitment practices for tech roles?
55,What ethical responsibilities do I have as a tech professional building or working with AI systems?
56,How do I position myself to work alongside AI rather than be replaced by it?
57,How do I break into AI and machine learning roles without a deep mathematics or research background?